"2023-06-08 at 11:54"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
11:54:36 -0.80 51.76 101.55
11:54:37 -0.95 51.76 101.55
11:54:38 -0.83 51.76 101.52
11:54:39 -0.38 51.76 101.55
11:54:40 -0.69 51.76 101.55
11:54:41 -0.78 51.76 101.55
11:54:42 -0.83 51.76 101.55
11:54:43 -0.87 51.76 101.55
11:54:44 -0.71 51.76 101.52
11:54:45 -1.08 51.76 101.52
11:54:46 -0.76 51.76 101.55
11:54:47 -0.89 51.76 101.52
11:54:48 -0.62 51.76 101.55
11:54:49 -0.95 51.76 101.55
11:54:50 -1.07 51.76 101.55
11:54:51 -0.90 51.76 101.52
11:54:52 -0.66 51.76 101.55
11:54:53 -0.80 51.76 101.55
11:54:54 -0.50 51.76 101.55
11:54:55 -0.85 51.76 101.52
11:54:57 -0.56 51.76 101.55
11:54:58 -0.94 51.76 101.55
11:54:59 -1.38 51.76 101.55
11:55:00 -1.36 51.76 101.55
11:55:01 -0.47 51.76 101.52
11:55:02 -0.73 51.76 101.55
11:55:03 -0.79 51.76 101.55
11:55:04 -0.85 51.76 101.52
11:55:05 -0.86 51.76 101.52
11:55:06 -0.71 51.76 101.55
11:55:07 -1.02 51.76 101.55
11:55:08 -0.69 51.76 101.52
11:55:09 -1.19 51.76 101.52
11:55:10 -1.24 51.76 101.55
11:55:11 -0.68 51.76 101.52
11:55:12 -0.72 51.76 101.52
11:55:13 -1.05 51.76 101.55
11:55:14 -1.15 51.76 101.55
11:55:15 -1.08 51.76 101.55
11:55:16 -1.01 51.76 101.55
11:55:17 -0.62 51.76 101.52
11:55:18 -1.36 51.76 101.55
11:55:19 -0.81 51.76 101.55
11:55:20 -0.97 51.76 101.55
11:55:21 -0.91 51.76 101.55
11:55:22 -0.89 51.76 101.55
11:55:23 -0.90 51.76 101.55
11:55:24 -0.87 51.76 101.55
11:55:25 -0.79 51.76 101.52
11:55:26 -0.93 51.76 101.55
11:55:27 -0.53 51.76 101.52
11:55:28 -1.34 51.76 101.55
11:55:29 -0.66 51.76 101.55
11:55:30 -1.33 51.76 101.55
11:55:31 -0.79 51.76 101.55
11:55:32 -0.89 51.73 101.55
