date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
6/1/23,5,std,,,,,4:35 PM,35.5,1,400,,,,
6/1/23,5,std,,,,,4:36 PM,30.8,1,400,,,,
6/1/23,5,std,,,,,4:36 PM,34.1,1,400,,,,
6/1/23,5,std,,,,,4:37 PM,35.2,1,400,,,,
6/1/23,5,std,,,,,4:38 PM,71.8,1,1000,,,,
6/1/23,5,std,,,,,4:39 PM,70.9,1,1000,,,,
6/1/23,5,std,,,,,4:40 PM,65.4,1,1000,,,,
6/1/23,5,std,,,,,4:42 PM,193.9,1,2500,,,,
6/1/23,5,std,,,,,4:42 PM,167.7,1,2500,,,,
6/1/23,5,std,,,,,4:43 PM,168.7,1,2500,,,,
6/1/23,5,std,,,,,4:44 PM,180.2,1,2500,,,,
6/1/23,5,std,,,,,4:45 PM,354.5,1,5000,,,,
6/1/23,5,std,,,,,4:45 PM,324,1,5000,,,,
6/1/23,5,std,,,,,4:46 PM,332,1,5000,,,,
6/1/23,5,L-2027,,,,,4:48 PM,51,,,,,,
6/1/23,5,B-2028,,,,,4:49 PM,42,,,,,,
6/1/23,5,L-2029,,,,,4:49 PM,41,,,,,,
6/1/23,5,L-2030,,,,,4:50 PM,45,,,,,,
6/1/23,5,B-2031,,,,,4:50 PM,50,,,,,,
6/1/23,5,B-2086,,,,,4:52 PM,43,,,,,,
6/1/23,5,B-2087,,,,,4:52 PM,58.9,,,,,,
6/1/23,5,B-2088,,,,,4:53 PM,45,,,,,,
6/1/23,5,L-2089,,,,,4:54 PM,51,,,,,,
6/1/23,5,L-2091,,,,,4:54 PM,38.3,,,,,,
6/1/23,5,L-2092,,,,,4:56 PM,53,,,,,,
6/1/23,5,L-2093,,,,,4:57 PM,47,,,,,,
6/1/23,5,L-2345,,,,,4:58 PM,36.9,,,,,,
6/1/23,5,L-2354,,,,,5:01 PM,69.9,,,,,,
6/1/23,5,B-2375,,,,,5:02 PM,50.9,,,,,,
6/1/23,5,B-2379,,,,,5:03 PM,40.4,,,,,,
6/1/23,5,L-2380,,,,,5:04 PM,60,,,,,,
6/1/23,5,B-2381,,,,,5:05 PM,46.5,,,,,,
6/1/23,5,L-M01,,,,,5:05 PM,44,,,,,,
6/1/23,5,B-M02,,,,,5:06 PM,50.1,,,,,,
6/1/23,5,B-M03,,,,,5:07 PM,60.1,,,,,,
6/1/23,5,L-M04,,,,,5:08 PM,60.2,,,,,,
6/1/23,5,L-M05,,,,,5:09 PM,52.7,,,,,,
6/1/23,5,B-M07,,,,,5:10 PM,48,,,,,,
6/1/23,5,L-2022,,,,,6:11 PM,38,,,,,,
6/1/23,5,L-2023,,,,,6:11 PM,32,,,,,,
6/1/23,5,B-2024,,,,,6:12 PM,51,,,,,,
6/1/23,5,B-2025,,,,,6:13 PM,39,,,,,,
6/1/23,5,B-2026,,,,,6:14 PM,25,,,,,,
6/1/23,5,B-2026-B,,,,,6:15 PM,22,,,,,,
