"2022-03-30 at 14:38"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:38:41 0.58 51.73 101.52
14:38:42 0.27 51.73 101.52
14:38:43 0.76 51.73 101.52
14:38:44 0.26 51.73 101.52
14:38:45 0.61 51.73 101.52
14:38:46 0.42 51.73 101.52
14:38:47 0.41 51.73 101.52
14:38:48 0.64 51.73 101.52
14:38:49 0.71 51.76 101.52
14:38:50 0.46 51.76 101.52
14:38:51 0.26 51.73 101.52
14:38:52 0.43 51.73 101.52
14:38:53 0.93 51.73 101.52
14:38:54 0.58 51.73 101.52
14:38:55 0.19 51.73 101.52
14:38:56 0.43 51.73 101.52
14:38:57 0.32 51.73 101.52
14:38:58 0.42 51.73 101.52
14:38:59 0.60 51.73 101.52
14:39:00 0.85 51.73 101.52
14:39:01 0.66 51.73 101.52
14:39:02 0.05 51.76 101.52
14:39:03 0.39 51.73 101.52
14:39:04 0.36 51.73 101.52
14:39:05 0.26 51.73 101.52
14:39:06 0.63 51.73 101.52
14:39:07 0.46 51.73 101.52
14:39:08 0.81 51.73 101.52
14:39:09 0.03 51.73 101.52
14:39:10 0.25 51.73 101.52
14:39:11 0.82 51.73 101.52
14:39:12 0.48 51.73 101.52
14:39:13 0.85 51.73 101.52
14:39:14 0.60 51.73 101.52
14:39:15 0.37 51.73 101.52
14:39:16 0.46 51.73 101.52
14:39:17 0.34 51.73 101.52
14:39:18 0.56 51.73 101.52
14:39:19 0.56 51.73 101.52
14:39:20 0.41 51.73 101.52
14:39:21 0.68 51.73 101.52
14:39:22 0.57 51.73 101.52
14:39:23 0.24 51.73 101.52
14:39:24 0.82 51.73 101.52
14:39:25 -0.02 51.73 101.52
14:39:26 0.45 51.73 101.52
14:39:27 0.70 51.73 101.50
14:39:28 0.40 51.73 101.52
14:39:29 1.22 51.73 101.52
14:39:30 0.39 51.73 101.52
14:39:32 0.54 51.73 101.52
14:39:33 0.64 51.73 101.52
14:39:34 0.45 51.73 101.52
14:39:35 0.23 51.73 101.52
14:39:36 0.54 51.73 101.52
14:39:37 0.59 51.73 101.52
14:39:38 0.68 51.73 101.52
14:39:39 0.40 51.76 101.52
14:39:40 0.28 51.73 101.52
14:39:41 0.63 51.73 101.52
14:39:42 0.96 51.73 101.52
14:39:43 0.38 51.73 101.52
14:39:44 0.16 51.73 101.52
14:39:45 0.72 51.73 101.52
14:39:46 0.64 51.73 101.52
14:39:47 0.51 51.73 101.52
14:39:48 0.56 51.73 101.52
14:39:49 0.83 51.73 101.52
14:39:50 0.15 51.73 101.52
14:39:51 0.56 51.73 101.52
14:39:52 0.81 51.73 101.52
14:39:53 0.63 51.73 101.52
14:39:54 0.30 51.73 101.52
14:39:55 0.26 51.73 101.52
14:39:56 0.36 51.73 101.52
14:39:57 0.49 51.73 101.52
14:39:58 0.39 51.73 101.52
14:39:59 0.62 51.73 101.52
14:40:00 0.82 51.73 101.52
14:40:01 0.31 51.73 101.52
14:40:02 0.52 51.73 101.52
14:40:03 0.54 51.73 101.52
14:40:04 0.52 51.73 101.52
14:40:05 0.58 51.73 101.52
14:40:06 0.32 51.73 101.52
14:40:07 0.12 51.73 101.52
14:40:08 0.66 51.73 101.52
14:40:09 0.50 51.73 101.52
14:40:10 0.70 51.73 101.52
14:40:11 0.69 51.73 101.52
14:40:12 0.44 51.73 101.52
14:40:13 0.72 51.73 101.52
14:40:14 0.53 51.73 101.52
14:40:15 0.38 51.73 101.52
14:40:16 0.58 51.73 101.52
14:40:17 0.62 51.73 101.52
14:40:18 0.34 51.73 101.52
14:40:19 0.29 51.73 101.52
14:40:20 0.75 51.73 101.52
14:40:21 0.35 51.73 101.52
14:40:22 0.50 51.73 101.52
14:40:23 0.67 51.73 101.52
14:40:24 0.65 51.76 101.52
14:40:25 0.60 51.73 101.52
14:40:26 0.67 51.73 101.52
14:40:27 0.71 51.73 101.52
14:40:28 0.24 51.73 101.52
14:40:29 0.58 51.73 101.52
14:40:30 0.47 51.73 101.52
14:40:31 0.68 51.73 101.52
