date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
11/18/2021,5.00,std,,,,,1:27 PM,32.9,1,400,,,,
11/18/2021,5.00,std,,,,,1:28 PM,32.5,1,400,,,,
11/18/2021,5.00,std,,,,,1:32 PM,75.9,1,1000,,,,
11/18/2021,5.00,std,,,,,1:34 PM,197,1,2500,,,,
11/18/2021,5.00,std,,,,,,,1,2500,,,,
11/18/2021,5.00,std,,,,,,,1,2500,,,,
11/18/2021,5.00,std,,,,,,,1,2500,,,,
11/18/2021,5.00,std,,,,,,,1,2500,,,,
11/18/2021,5.00,std,,,,,,,1,5000,,,,
11/18/2021,5.00,std,,,,,,,1,5000,,,,
11/18/2021,5.00,std,,,,,,,1,5000,,,,
11/18/2021,5.00,std,,,,,,,1,5000,,,,
11/18/2021,5.00,std,,,,,,,1,5000,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,5.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
